,id,name,pull_date,completed_subscribers_count,subscribers_in_queue_count,sent,opens_count,unique_opens_count,clicks_count,unique_clicks_count,unsubscribes_count,spam_count,hard_bounces_count,soft_bounces_count,social_interactions_count,bounce_rate,click_to_open_rate,open_rate,click_rate,unsubscribe_rate,spam_rate,hard_bounce_rate,soft_bounce_rate,forward_rate,social_interaction_rate
0,82518499672458871,2023 Mobile Gaming Report,2023-04-18,3,0,3,2,,1,,0,0,0,0,,0.0,0.5,0.66666666666667,0.33333333333333,0.0,0,0,0.0,0,0
1,82679534020724361,Tag English website leads,2023-04-18,5,0,0,0,,0,,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
2,82770555385677376,CreatorDB SaaS Signup,2023-04-18,12,36,182,91,,12,,2,0,0,4,,0.021978021978022,0.13186813186813187,0.5,0.065934065934066,0.01098901098901099,0,0,0.02197802197802198,0,0
3,82875703432840253,CreatorDB Newsletter Signup,2023-04-18,0,0,0,0,,0,,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
4,83260591383250770,GDC 2023 (CreatorDB Deck),2023-04-18,0,0,0,0,,0,,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
5,84059606279521965,Shoptalk 2023 (CreatorDB Deck),2023-04-18,0,0,0,0,,0,,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
6,84060028205532416,GDC 2023 (Mobile Gaming Influencers Report 2023),2023-04-18,0,0,0,0,,0,,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
7,84060387067037604,Shoptalk 2023 (Mobile Gaming Influencers Report 2023),2023-04-18,0,0,0,0,,0,,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
8,84062004152632921,GDC 2023 (Insights about Asia),2023-04-18,0,0,0,0,,0,,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
9,84064565382350072,Shoptalk 2023 (Market Insights about Asia),2023-04-18,0,0,0,0,,0,,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
